Month,"Electricity Net Generation, Electric Power Sector","Electricity Net Generation, Commercial Sector","Electricity Net Generation, Industrial Sector","Electricity Net Generation, Total",Electricity Imports,Electricity Exports,Electricity Net Imports,Transmission and Distribution Losses and Unaccounted for,Electricity Sales to Ultimate Customers,Electricity Direct Use,"Electricity End Use, Total"
2011-01-01,350.001,0.817,12.054,362.872,4.282,1.594,2.688,20.199,334.116,11.245,345.36
2011-02-01,301.632,0.725,10.77,313.127,3.741,1.521,2.22,8.401,296.903,10.042,306.946
2011-03-01,306.808,0.753,11.149,318.71,4.023,1.541,2.482,18.742,292.052,10.398,302.45
2011-04-01,290.519,0.706,11.175,302.401,3.799,1.603,2.196,19.013,275.204,10.38,285.584
2011-05-01,311.403,0.867,11.359,323.628,4.898,1.276,3.622,28.576,287.993,10.681,298.674
2011-06-01,354.929,0.86,11.938,367.727,4.483,1.316,3.167,31.005,328.707,11.181,339.888
2011-07-01,404.802,1.023,12.868,418.693,6.023,1.255,4.768,40.633,370.692,12.136,382.828
2011-08-01,392.441,0.985,13.085,406.511,5.584,1.009,4.575,26.074,372.72,12.292,385.012
2011-09-01,325.113,0.87,11.948,337.931,4.036,1.016,3.02,3.505,326.247,11.199,337.446
2011-10-01,296.676,0.799,11.224,308.699,3.7,0.914,2.787,12.849,288.133,10.504,298.637
2011-11-01,291.639,0.8,11.663,304.102,3.471,1.13,2.341,20.32,275.235,10.888,286.123
2011-12-01,322.225,0.874,12.642,335.74,4.26,0.874,3.386,25.474,301.844,11.808,313.652
2012-01-01,326.185,0.916,12.425,339.526,4.149,0.934,3.215,20.099,310.975,11.667,322.643
2012-02-01,296.79,0.9,11.699,309.389,3.639,0.869,2.77,14.158,286.983,11.018,298.001
2012-03-01,296.497,0.911,11.682,309.09,4.205,1.198,3.007,17.353,283.731,11.013,294.744
2012-04-01,283.183,0.888,11.158,295.229,4.996,1.256,3.739,17.674,270.76,10.535,281.294
2012-05-01,323.598,0.93,11.988,336.516,5.472,1.15,4.322,32.572,296.968,11.297,308.266
2012-06-01,347.759,0.975,12.091,360.825,5.37,1.211,4.159,28.398,325.16,11.427,336.587
2012-07-01,400.316,1.135,13.19,414.641,6.675,1.008,5.667,36.817,370.963,12.528,383.49
2012-08-01,381.494,1.046,13.16,395.7,6.347,0.85,5.497,23.989,364.785,12.423,377.208
2012-09-01,321.586,0.93,12.069,334.586,4.908,0.906,4.002,9.13,318.09,11.368,329.458
2012-10-01,298.906,0.904,11.841,311.652,4.405,0.744,3.661,13.431,290.735,11.146,301.882
2012-11-01,293.047,0.876,12.052,305.976,4.695,0.8,3.895,20.352,278.212,11.306,289.518
2012-12-01,320.996,0.888,12.751,334.635,4.397,1.07,3.327,28.746,297.288,11.927,309.216
2013-01-01,335.062,0.981,12.924,348.967,5.378,1.056,4.322,20.311,320.683,12.296,332.978
2013-02-01,297.198,0.888,11.642,309.728,5.091,0.845,4.246,11.415,291.48,11.079,302.559
2013-03-01,311.828,0.995,12.576,325.399,5.578,0.952,4.626,20.799,297.226,12.0,309.226
2013-04-01,286.807,0.946,11.58,299.333,5.224,1.248,3.976,14.451,277.782,11.076,288.858
2013-05-01,309.028,0.981,12.147,322.156,5.972,0.958,5.014,26.164,289.398,11.608,301.006
2013-06-01,343.286,1.026,12.511,356.823,6.292,0.779,5.514,30.167,320.201,11.969,332.17
2013-07-01,380.108,1.236,13.502,394.846,6.855,0.983,5.872,28.986,358.701,13.031,371.732
2013-08-01,370.943,1.147,13.195,385.286,6.991,0.848,6.142,25.167,353.58,12.682,366.262
2013-09-01,327.638,1.073,12.23,340.941,5.658,0.726,4.932,10.633,323.478,11.762,335.24
2013-10-01,301.782,0.961,12.182,314.925,5.319,0.971,4.348,13.282,294.37,11.621,305.992
2013-11-01,301.287,0.936,12.317,314.54,5.559,0.896,4.664,25.991,281.494,11.718,293.212
2013-12-01,338.748,1.064,13.21,353.021,5.33,1.112,4.218,28.144,316.475,12.621,329.095
2014-01-01,363.642,1.218,12.391,377.251,5.467,1.282,4.184,28.155,341.238,12.043,353.281
2014-02-01,312.274,0.961,11.112,324.347,4.437,1.293,3.145,7.868,308.941,10.683,319.624
2014-03-01,318.912,0.972,11.937,331.821,5.584,1.937,3.647,21.657,302.388,11.423,313.811
2014-04-01,285.451,0.927,11.251,297.628,4.791,1.337,3.453,14.412,275.894,10.776,286.669
2014-05-01,312.067,0.986,11.667,324.719,5.39,0.826,4.564,26.666,291.421,11.196,302.617
2014-06-01,344.984,1.041,11.814,357.84,5.493,1.045,4.448,28.121,322.792,11.376,334.168
2014-07-01,371.813,1.173,12.79,385.775,6.299,1.03,5.269,27.165,351.524,12.355,363.879
2014-08-01,370.3,1.181,12.856,384.337,6.678,0.863,5.815,25.848,351.883,12.421,364.304
2014-09-01,326.752,1.086,12.044,339.883,6.034,0.766,5.268,6.625,326.907,11.619,338.526
2014-10-01,301.843,1.008,11.667,314.518,5.372,0.951,4.421,11.043,296.68,11.216,307.896
2014-11-01,304.734,0.96,11.797,317.491,5.583,0.875,4.708,25.498,285.413,11.288,296.701
2014-12-01,324.189,1.007,12.757,337.953,5.383,1.092,4.291,20.445,309.62,12.179,321.799
2015-01-01,346.755,0.981,12.717,360.453,6.039,0.817,5.221,23.794,329.666,12.214,341.881
2015-02-01,322.593,0.932,11.071,334.596,5.574,1.355,4.219,21.343,306.768,10.703,317.472
2015-03-01,311.862,0.977,11.475,324.314,6.632,0.944,5.688,13.547,305.352,11.103,316.455
2015-04-01,282.241,0.931,11.005,294.177,6.528,0.585,5.943,14.001,275.475,10.644,286.119
2015-05-01,309.654,1.013,11.522,322.189,6.616,0.609,6.007,28.928,288.091,11.178,299.268
2015-06-01,349.151,1.098,12.244,362.493,6.694,0.617,6.077,30.276,326.397,11.897,338.294
2015-07-01,386.005,1.238,13.292,400.535,6.896,0.647,6.249,30.889,362.938,12.956,375.894
2015-08-01,377.982,1.206,13.054,392.242,7.168,0.657,6.511,24.005,362.032,12.716,374.748
2015-09-01,336.686,1.145,12.359,350.19,6.611,0.709,5.902,11.093,332.958,12.042,345.0
2015-10-01,299.267,1.049,11.894,312.21,5.26,0.696,4.564,9.177,296.055,11.542,307.598
2015-11-01,287.677,0.992,12.11,300.779,5.849,0.661,5.188,18.367,275.917,11.684,287.6
2015-12-01,310.532,1.033,12.97,324.536,5.906,0.805,5.101,19.806,297.344,12.488,309.831
2016-01-01,339.195,1.022,12.497,352.714,6.523,0.389,6.134,26.038,320.89,11.92,332.81
2016-02-01,301.253,0.967,11.597,313.816,5.433,0.552,4.881,10.814,296.806,11.078,307.883
2016-03-01,291.3,1.011,12.117,304.427,5.809,0.671,5.138,12.178,285.812,11.575,297.387
2016-04-01,280.641,0.961,11.386,292.987,4.702,0.45,4.252,16.822,269.531,10.886,280.417
2016-05-01,303.962,1.019,11.886,316.867,5.561,0.37,5.191,25.972,284.708,11.379,296.086
2016-06-01,354.567,1.089,12.248,367.904,6.748,0.61,6.138,32.405,329.878,11.759,341.637
2016-07-01,397.791,1.263,12.989,412.043,7.674,0.575,7.099,34.404,372.172,12.566,384.739
2016-08-01,395.489,1.298,13.075,409.861,7.349,0.587,6.762,22.759,381.192,12.672,393.865
2016-09-01,338.335,1.114,12.111,351.56,5.297,0.587,4.711,7.858,336.752,11.66,348.412
2016-10-01,300.068,1.021,11.851,312.94,5.751,0.432,5.319,10.228,296.681,11.349,308.03
2016-11-01,284.286,0.927,11.852,297.065,6.421,0.417,6.004,14.485,277.317,11.268,288.585
2016-12-01,332.091,1.015,12.283,345.389,5.448,0.574,4.873,27.815,310.722,11.725,322.447
2017-01-01,330.941,1.103,12.37,344.414,7.019,0.484,6.535,20.661,318.177,12.111,330.288
2017-02-01,278.967,0.98,11.165,291.113,5.672,0.69,4.982,9.401,275.777,10.917,286.694
2017-03-01,306.515,1.087,11.867,319.469,6.023,0.998,5.025,21.407,291.444,11.644,303.088
2017-04-01,283.0,0.986,11.476,295.462,5.562,1.106,4.456,15.914,272.801,11.202,284.003
2017-05-01,310.751,1.074,11.67,323.494,5.084,0.832,4.252,24.421,291.871,11.455,303.325
2017-06-01,345.349,1.138,12.143,358.63,5.993,0.811,5.182,23.291,328.583,11.938,340.521
2017-07-01,390.399,1.227,12.912,404.537,5.913,0.708,5.205,29.42,367.613,12.709,380.322
2017-08-01,370.893,1.201,12.743,384.837,6.509,0.773,5.736,17.777,360.263,12.534,372.797
2017-09-01,323.561,1.098,11.345,336.004,5.228,0.692,4.536,7.63,321.726,11.184,332.91
2017-10-01,306.146,1.054,11.531,318.731,3.952,0.71,3.242,11.122,299.539,11.312,310.852
2017-11-01,295.451,1.006,11.731,308.189,3.93,0.823,3.107,16.499,283.347,11.45,294.797
2017-12-01,336.653,1.105,12.806,350.563,4.799,0.744,4.055,29.899,312.216,12.504,324.72
2018-01-01,359.598,1.114,12.668,373.379,5.225,1.14,4.085,20.6,344.478,12.386,356.864
2018-02-01,294.797,0.995,11.265,307.058,4.788,1.268,3.52,6.826,292.732,11.02,303.752
2018-03-01,308.965,1.058,11.742,321.765,5.599,1.195,4.403,17.664,296.999,11.505,308.504
2018-04-01,288.81,0.989,11.258,301.057,4.529,1.622,2.907,14.489,278.468,11.007,289.475
2018-05-01,326.185,1.076,11.967,339.228,5.239,1.141,4.098,28.355,303.248,11.723,314.971
2018-06-01,358.783,1.163,12.199,372.145,5.494,1.215,4.279,26.331,338.083,12.01,350.093
2018-07-01,397.18,1.298,13.138,411.617,5.371,0.935,4.435,28.054,375.023,12.975,387.998
2018-08-01,393.822,1.318,13.212,408.352,6.136,1.134,5.002,19.164,381.131,13.06,394.19
2018-09-01,343.217,1.156,12.185,356.558,4.251,1.061,3.19,10.494,337.263,11.991,349.253
2018-10-01,311.888,1.055,12.127,325.07,3.719,0.884,2.835,6.943,309.114,11.848,320.961
2018-11-01,309.16,0.993,12.313,322.466,3.813,1.285,2.528,22.528,290.507,11.959,302.466
2018-12-01,328.473,1.095,12.724,342.292,4.099,0.925,3.174,20.907,312.14,12.42,324.56
2019-01-01,345.543,1.16,13.025,359.729,4.805,1.464,3.341,21.933,328.609,12.528,341.137
2019-02-01,302.89,1.057,11.335,315.282,4.552,1.418,3.134,11.674,295.798,10.944,306.741
2019-03-01,313.631,1.173,12.099,326.903,4.95,2.549,2.401,15.73,301.853,11.721,313.574
2019-04-01,284.599,1.053,11.301,296.953,4.355,1.968,2.386,14.529,273.9,10.91,284.81
2019-05-01,317.735,1.072,11.854,330.661,4.723,1.682,3.041,25.485,296.802,11.415,308.217
2019-06-01,339.96,1.133,12.147,353.239,5.156,1.526,3.63,23.68,321.462,11.728,333.189
2019-07-01,395.874,1.313,13.178,410.365,5.643,1.957,3.685,25.158,376.095,12.798,388.892
2019-08-01,387.206,1.29,13.236,401.732,5.865,1.785,4.08,20.409,372.574,12.828,385.402
2019-09-01,347.136,1.15,12.474,360.76,5.293,1.776,3.517,11.782,340.463,12.032,352.495
2019-10-01,307.164,1.072,12.281,320.518,3.661,1.465,2.196,2.68,308.241,11.793,320.034
2019-11-01,302.301,1.066,12.531,315.897,4.839,1.244,3.595,21.953,285.532,12.008,297.54
2019-12-01,324.308,1.151,13.077,338.536,5.212,1.175,4.037,20.185,309.823,12.566,322.388
2020-01-01,327.71,1.145,13.164,342.019,4.608,1.425,3.182,16.913,315.533,12.755,328.288
2020-02-01,306.456,1.074,12.169,319.698,4.487,1.655,2.832,16.066,294.659,11.805,306.464
2020-03-01,296.522,1.05,12.297,309.87,5.095,1.317,3.778,11.855,289.894,11.898,301.792
2020-04-01,267.767,0.943,11.136,279.846,4.703,1.459,3.244,9.922,262.401,10.767,273.168
2020-05-01,292.546,1.012,11.278,304.837,5.198,1.493,3.705,22.879,274.707,10.956,285.663
2020-06-01,339.302,1.103,11.563,351.967,5.203,1.3,3.903,24.525,320.056,11.29,331.346
2020-07-01,396.375,1.293,12.203,409.871,6.648,1.221,5.427,23.737,379.53,12.031,391.561
2020-08-01,384.973,1.241,12.321,398.536,6.813,0.931,5.883,23.444,368.885,12.09,380.975
2020-09-01,321.032,1.097,11.363,333.493,4.694,0.954,3.74,3.571,322.555,11.108,333.662
2020-10-01,301.415,1.032,11.257,313.703,4.654,0.77,3.885,9.757,296.877,10.954,307.831
2020-11-01,289.138,0.987,11.278,301.403,4.216,0.803,3.413,16.634,277.249,10.933,288.183
2020-12-01,330.933,1.069,12.522,344.523,5.129,0.807,4.322,21.401,315.33,12.115,327.445
2021-01-01,335.508,1.096,12.606,349.21,5.086,0.941,4.145,19.378,321.496,12.48,333.977
2021-02-01,312.79,0.973,10.136,323.9,4.024,1.097,2.927,17.01,299.698,10.118,309.816
2021-03-01,299.4,0.988,11.01,311.397,4.569,0.743,3.826,8.951,295.345,10.928,306.273
2021-04-01,281.725,0.938,10.645,293.308,4.389,1.065,3.324,13.303,272.779,10.55,283.329
2021-05-01,308.036,0.966,11.179,320.181,4.667,0.972,3.695,22.754,290.061,11.062,301.122
2021-06-01,360.919,1.101,11.837,373.856,5.246,0.804,4.442,28.099,338.415,11.784,350.199
2021-07-01,391.705,1.204,12.715,405.624,5.512,1.098,4.414,23.412,373.948,12.678,386.626
2021-08-01,399.043,1.242,12.579,412.865,4.637,1.266,3.372,22.608,381.039,12.589,393.628
2021-09-01,335.24,1.115,11.389,347.744,3.915,1.175,2.741,2.652,336.444,11.388,347.832
2021-10-01,307.591,1.04,11.571,320.202,4.159,1.308,2.851,9.44,302.127,11.486,313.613
2021-11-01,301.458,1.031,11.82,314.31,2.965,1.803,1.162,16.633,287.134,11.705,298.839
2021-12-01,323.766,1.074,12.264,337.104,3.997,1.584,2.413,19.982,307.387,12.148,319.535
2022-01-01,359.855,1.403,12.508,373.766,4.468,1.47,2.998,25.71,338.656,12.397,351.053
2022-02-01,312.158,1.232,10.921,324.311,3.36,1.539,1.821,9.437,305.863,10.831,316.694
2022-03-01,311.53,1.328,11.673,324.53,3.681,1.685,1.996,10.64,304.3,11.587,315.887
2022-04-01,291.814,1.308,10.871,303.994,3.87,1.374,2.496,10.702,284.933,10.855,295.788
2022-05-01,329.317,1.381,11.485,342.184,4.375,1.608,2.767,23.786,309.697,11.467,321.164
2022-06-01,366.018,1.455,11.661,379.134,5.515,1.13,4.384,24.722,347.106,11.69,358.796
2022-07-01,408.874,1.592,12.51,422.975,6.738,1.274,5.464,26.658,389.214,12.567,401.782
2022-08-01,398.041,1.595,12.498,412.133,7.229,1.316,5.913,15.86,389.626,12.56,402.186
2022-09-01,338.966,1.417,11.272,351.655,5.188,1.351,3.837,3.64,340.544,11.309,351.853
2022-10-01,301.419,1.3,11.23,313.949,4.14,1.252,2.888,8.474,297.196,11.167,308.363
2022-11-01,308.815,1.33,11.635,321.78,3.534,0.907,2.627,20.595,292.258,11.555,303.812
2022-12-01,347.081,1.397,11.779,360.257,4.873,0.852,4.021,24.76,327.776,11.742,339.518
2023-01-01,335.037,1.316,11.597,347.95,4.488,1.203,3.285,14.394,325.415,11.427,336.841
2023-02-01,298.904,1.215,10.803,310.922,3.524,1.58,1.944,9.286,292.946,10.635,303.58
2023-03-01,318.825,1.264,11.616,331.704,3.891,1.329,2.562,16.415,306.454,11.397,317.851
2023-04-01,290.513,1.214,10.176,301.903,3.586,1.674,1.913,12.926,280.811,10.079,290.89
2023-05-01,314.977,1.317,11.18,327.474,3.904,1.279,2.624,20.335,298.706,11.058,309.764
2023-06-01,346.192,1.381,11.66,359.234,3.066,1.376,1.69,20.585,328.798,11.54,340.338
2023-07-01,411.67,1.529,12.255,425.455,3.217,1.986,1.231,27.232,387.256,12.198,399.454
2023-08-01,409.024,1.471,12.41,422.905,3.003,1.619,1.384,19.57,392.436,12.283,404.719
2023-09-01,347.36,1.37,11.76,360.49,2.356,2.27,0.086,2.481,346.476,11.618,358.095
2023-10-01,314.037,1.323,11.358,326.718,2.211,2.006,0.205,7.637,308.065,11.221,319.287
2023-11-01,307.854,1.308,11.622,320.785,2.469,1.829,0.64,15.735,294.248,11.442,305.69
2023-12-01,334.148,1.358,12.226,347.732,3.202,1.863,1.339,24.408,312.642,12.02,324.662
2024-01-01,366.348,1.428,12.659,380.434,3.613,1.876,1.737,25.988,343.718,12.465,356.183
2024-02-01,308.437,1.302,11.161,320.899,2.539,2.379,0.16,7.591,302.441,11.028,313.469
2024-03-01,311.841,1.339,11.132,324.313,2.207,2.556,-0.349,16.737,296.191,11.036,307.227
2024-04-01,297.075,1.235,11.024,309.335,1.8,2.263,-0.463,12.948,285.075,10.848,295.923
2024-05-01,333.206,1.35,11.254,345.809,1.792,1.746,0.045,22.129,312.573,11.153,323.726
2024-06-01,377.754,1.396,10.953,390.103,2.874,1.453,1.422,26.31,354.287,10.927,365.214
2024-07-01,417.17,1.496,11.79,430.456,4.001,1.514,2.487,24.386,396.8,11.757,408.556
2024-08-01,409.746,1.511,12.28,423.536,3.375,1.219,2.156,20.613,392.877,12.203,405.08
2024-09-01,347.118,1.34,11.15,359.609,3.094,0.991,2.102,8.016,342.643,11.053,353.696
2024-10-01,322.622,1.296,10.201,334.119,2.796,0.906,1.891,10.447,315.389,10.173,325.563
2024-11-01,311.935,1.277,10.929,324.141,1.79,1.247,0.543,20.335,293.549,10.801,304.349
2024-12-01,347.654,1.357,12.273,361.284,3.373,1.287,2.086,24.961,326.348,12.061,338.409
2025-01-01,387.678,1.367,12.458,401.503,4.073,1.232,2.841,30.987,361.123,12.233,373.356
2025-02-01,327.029,1.258,10.861,339.148,3.134,1.247,1.887,10.569,319.742,10.724,330.466
2025-03-01,321.012,1.305,11.529,333.846,2.374,1.563,0.811,16.648,306.652,11.357,318.009
2025-04-01,309.451,1.211,10.685,321.347,2.913,1.244,1.669,18.64,293.849,10.527,304.376
2025-05-01,331.518,1.209,10.977,343.704,3.324,0.99,2.334,23.703,311.552,10.784,322.336
2025-06-01,380.467,1.373,11.208,393.049,2.712,0.905,1.807,27.135,356.587,11.134,367.72
2025-07-01,433.486,1.499,11.914,446.899,1.296,0.263,1.033,29.074,406.989,11.869,418.859
